usr7-dialup46.chicago.mci.net,1.0,GET,/shuttle/missions/,12283,200,1995-07-01,00:02:35,1995,7,1,0,2,35
dynip42.efn.org,1.0,GET,/software/winvn/winvn.html,9867,200,1995-07-01,00:02:39,1995,7,1,0,2,39
ix-or10-06.ix.netcom.com,1.0,GET,/software/winvn/,2244,200,1995-07-01,00:02:42,1995,7,1,0,2,42
gater4.sematech.org,1.0,GET,/shuttle/missions/sts-71/images/images.html,7634,200,1995-07-01,00:02:43,1995,7,1,0,2,43
remote27.compusmart.ab.ca,1.0,GET,/shuttle/missions/sts-71/images/KSC-95EC-0868.txt,657,200,1995-07-01,00:02:55,1995,7,1,0,2,55
waters-gw.starway.net.au,1.0,GET,/shuttle/missions/51-l/images/,1038,200,1995-07-01,00:02:57,1995,7,1,0,2,57
brandt.xensei.com,1.0,GET,/shuttle/missions/sts-71/mission-sts-71.html,12040,200,1995-07-01,00:02:57,1995,7,1,0,2,57
slip1.yab.com,1.0,GET,/shuttle/missions/sts-49/mission-sts-49.html,9379,200,1995-07-01,00:03:00,1995,7,1,0,3,0
dd11-054.compuserve.com,1.0,GET,/,7074,200,1995-07-01,00:03:01,1995,7,1,0,3,1
onyx.southwind.net,1.0,GET,/shuttle/countdown/tour.html,4347,200,1995-07-01,00:03:02,1995,7,1,0,3,2
gayle-gaston.tenet.edu,1.0,GET,/shuttle/missions/sts-71/images/images.html,7634,200,1995-07-01,00:03:11,1995,7,1,0,3,11
129.188.154.200,1.0,GET,/facts/about_ksc.html,3977,200,1995-07-01,00:03:12,1995,7,1,0,3,12
ppp-nyc-3-1.ios.com,1.0,GET,/shuttle/missions/sts-71/movies/movies.html,3092,200,1995-07-01,00:03:13,1995,7,1,0,3,13
link097.txdirect.net,1.0,GET,/shuttle/missions/sts-65/mission-sts-65.html,130811,200,1995-07-01,00:03:13,1995,7,1,0,3,13
lmsmith.tezcat.com,1.0,GET,/shuttle/missions/sts-71/images/images.html,7634,200,1995-07-01,00:03:14,1995,7,1,0,3,14
charger.execpc.com,1.0,GET,/shuttle/missions/missions.html,8677,200,1995-07-01,00:03:15,1995,7,1,0,3,15
pipe6.nyc.pipeline.com,1.0,GET,/shuttle/missions/sts-71/movies/movies.html,3092,200,1995-07-01,00:03:25,1995,7,1,0,3,25
ix-or10-06.ix.netcom.com,1.0,GET,/software/,689,200,1995-07-01,00:03:26,1995,7,1,0,3,26
midcom.com,1.0,GET,/history/apollo/apollo-13/apollo-13.html,18114,200,1995-07-01,00:03:31,1995,7,1,0,3,31
isdn6-34.dnai.com,1.0,GET,/shuttle/missions/sts-68/mission-sts-68.html,49087,200,1995-07-01,00:03:31,1995,7,1,0,3,31
ix-or10-06.ix.netcom.com,1.0,GET,/software/winvn/readme.txt,5736,200,1995-07-01,00:03:34,1995,7,1,0,3,34
isdn6-34.dnai.com,1.0,GET,/shuttle/resources/orbiters/endeavour.html,6168,200,1995-07-01,00:03:36,1995,7,1,0,3,36
dd11-054.compuserve.com,1.0,GET,/shuttle/missions/missions.html,8677,200,1995-07-01,00:03:36,1995,7,1,0,3,36
isdn6-34.dnai.com,1.0,GET,/shuttle/missions/sts-68/mission-sts-68.html,49087,200,1995-07-01,00:03:40,1995,7,1,0,3,40
bos1d.delphi.com,1.0,GET,/history/apollo/apollo-13/apollo-13.html,18114,200,1995-07-01,00:03:43,1995,7,1,0,3,43
charger.execpc.com,1.0,GET,/history/history.html,1502,200,1995-07-01,00:03:47,1995,7,1,0,3,47
ix-ftw-tx1-24.ix.netcom.com,1.0,GET,/shuttle/countdown/countdown.html,3985,200,1995-07-01,00:03:48,1995,7,1,0,3,48
isdn6-34.dnai.com,1.0,GET,/facilities/lc39a.html,7008,200,1995-07-01,00:03:51,1995,7,1,0,3,51
205.189.154.54,1.0,GET,/shuttle/missions/sts-71/images/images.html,7634,200,1995-07-01,00:03:51,1995,7,1,0,3,51
129.188.154.200,1.0,GET,/,7074,200,1995-07-01,00:03:58,1995,7,1,0,3,58
